,game_id,Team,Sh,SoT,CrdY,CrdR,PK,Gls,Cmp_x
360,27,Valencia,16,2,0,0,0,0,576.0
24,27,Real Sociedad,9,3,1,0,0,0,290.0
25,28,Getafe,11,4,2,0,0,0,455.0
361,28,Betis,5,2,2,0,0,1,251.0
26,29,Villarreal,15,5,2,0,0,1,529.0
362,29,Alavés,11,5,1,0,0,0,285.0
363,30,Atlético Madrid,3,1,2,0,0,0,255.0
27,30,Huesca,16,2,6,0,0,1,527.0
364,31,Elche,3,1,5,2,0,0,138.0
28,31,Eibar,13,4,3,0,0,0,470.0
29,32,Real Madrid,10,3,5,0,0,0,365.0
365,32,Valladolid,7,4,5,1,0,2,497.0
30,33,Sevilla,8,2,2,0,0,1,264.0
366,33,Levante,10,4,3,1,1,2,219.0
31,34,Athletic Club,13,0,1,0,0,0,541.0
367,34,Cádiz,6,2,2,0,0,0,456.0
32,35,Celta Vigo,10,5,3,0,1,3,299.0
368,35,Barcelona,5,1,3,0,0,0,237.0
33,37,Valladolid,5,2,2,0,0,0,302.0
369,37,Eibar,17,8,2,0,0,2,416.0
34,38,Atlético Madrid,13,4,3,0,0,2,223.0
370,38,Villarreal,9,3,3,0,0,0,406.0
371,39,Getafe,8,0,3,0,0,0,352.0
35,39,Real Sociedad,8,3,2,1,0,1,225.0
372,40,Huesca,13,3,1,0,0,2,465.0
36,40,Elche,11,4,2,0,0,0,361.0
373,41,Betis,13,5,2,0,0,1,370.0
37,41,Valencia,14,4,2,0,0,1,247.0
374,42,Celta Vigo,13,1,1,0,0,1,487.0
38,42,Osasuna,12,5,1,0,0,1,594.0
39,43,Alavés,13,3,4,0,0,1,327.0
375,43,Athletic Club,8,3,4,1,0,0,317.0
40,44,Levante,15,5,3,0,0,0,400.0
376,44,Real Madrid,9,4,4,0,0,2,383.0
41,45,Cádiz,14,2,2,0,0,0,590.0
377,45,Granada,14,4,0,0,0,1,133.0
42,46,Barcelona,8,3,4,0,1,1,143.0
378,46,Sevilla,7,1,3,0,0,0,557.0
379,48,Sevilla,6,1,1,0,0,0,298.0
43,48,Granada,14,4,3,0,0,2,335.0
380,49,Atlético Madrid,11,3,1,0,0,1,304.0
44,49,Celta Vigo,15,5,4,1,1,2,556.0
45,50,Real Madrid,12,7,1,0,0,2,504.0
381,50,Cádiz,4,2,2,0,1,2,216.0
46,51,Getafe,13,2,2,0,0,0,350.0
382,51,Barcelona,7,3,5,0,0,2,400.0
383,52,Osasuna,7,4,1,0,1,3,311.0
47,52,Eibar,7,1,2,0,0,0,413.0
384,53,Levante,14,3,2,0,0,1,437.0
48,53,Athletic Club,3,2,3,0,0,2,406.0
385,54,Valencia,14,8,2,0,1,3,493.0
49,54,Villarreal,10,4,3,0,0,1,548.0
50,55,Huesca,6,1,3,0,1,1,237.0
386,55,Valladolid,13,5,2,0,0,0,424.0
387,56,Elche,3,1,3,0,0,1,201.0
51,56,Alavés,21,3,0,0,0,0,613.0
388,57,Real Sociedad,12,3,0,1,0,0,510.0
52,57,Betis,13,6,2,0,0,2,306.0
53,59,Elche,5,0,2,0,0,0,166.0
389,59,Valencia,7,2,2,0,0,0,689.0
54,60,Barcelona,10,1,4,0,0,0,285.0
390,60,Real Madrid,4,1,2,0,1,1,106.0
55,61,Osasuna,12,5,2,0,1,4,384.0
391,61,Athletic Club,7,4,1,0,0,1,351.0
56,62,Sevilla,9,2,2,0,1,1,434.0
392,62,Eibar,11,3,2,0,0,1,277.0
57,63,Atlético Madrid,9,3,1,0,0,0,561.0
393,63,Betis,6,4,1,0,0,2,127.0
58,64,Valladolid,13,6,0,0,0,4,628.0
394,64,Alavés,9,2,2,0,0,1,407.0
59,65,Cádiz,16,5,5,0,0,2,322.0
395,65,Villarreal,7,2,5,0,0,1,380.0
60,66,Getafe,8,3,1,0,0,1,350.0
396,66,Granada,9,5,2,0,1,3,475.0
397,67,Huesca,25,8,3,0,0,1,775.0
61,67,Real Sociedad,4,3,4,1,0,1,151.0
62,68,Levante,16,9,2,0,0,3,616.0
398,68,Celta Vigo,4,2,1,0,0,1,407.0
63,70,Eibar,5,2,2,1,0,1,143.0
399,70,Cádiz,19,4,3,0,0,1,441.0
64,71,Real Madrid,8,4,8,1,1,2,187.0
400,71,Huesca,16,5,5,1,0,2,368.0
401,72,Sevilla,11,1,3,0,0,0,286.0
65,72,Athletic Club,11,5,1,0,0,2,480.0
402,73,Atlético Madrid,14,6,4,0,0,1,409.0
66,73,Osasuna,7,0,3,0,1,1,426.0
67,74,Alavés,14,5,2,0,0,1,414.0
403,74,Barcelona,8,3,0,0,0,1,271.0
68,75,Betis,16,7,2,0,1,5,566.0
404,75,Elche,12,6,2,1,0,2,364.0
69,76,Celta Vigo,8,0,2,0,1,1,496.0
405,76,Real Sociedad,10,2,3,0,0,0,216.0
406,77,Levante,10,3,1,0,0,0,281.0
70,77,Granada,17,7,1,0,0,4,715.0
71,78,Valencia,13,4,3,0,0,1,299.0
407,78,Getafe,9,5,4,0,0,3,384.0
72,79,Villarreal,20,7,2,1,1,2,554.0
408,79,Valladolid,1,0,1,0,0,0,160.0
73,81,Elche,17,5,1,0,0,1,479.0
409,81,Celta Vigo,6,2,6,1,0,1,157.0
410,82,Eibar,16,6,2,0,0,1,533.0
74,82,Huesca,4,1,3,0,3,3,229.0
75,83,Barcelona,18,7,2,0,0,1,400.0
411,83,Betis,6,5,3,0,0,1,310.0
412,84,Osasuna,11,5,4,0,0,1,437.0
76,84,Sevilla,13,5,1,0,0,1,334.0
413,85,Cádiz,6,1,2,0,0,1,544.0
77,85,Atlético Madrid,12,0,1,0,1,1,469.0
78,86,Getafe,15,10,2,0,0,4,462.0
414,86,Villarreal,10,7,2,0,0,2,321.0
415,87,Granada,13,4,0,0,0,0,568.0
79,87,Real Sociedad,9,2,4,0,0,1,466.0
80,88,Valladolid,14,4,3,1,0,0,205.0
416,88,Athletic Club,8,3,4,0,0,0,184.0
417,89,Alavés,14,3,1,0,0,1,469.0
81,89,Levante,2,0,2,0,0,0,177.0
82,90,Valencia,16,6,4,0,0,1,341.0
418,90,Real Madrid,9,3,3,0,0,3,197.0
83,92,Osasuna,14,9,0,0,0,3,293.0
419,92,Huesca,7,1,0,0,0,0,468.0
420,93,Elche,9,2,3,0,1,1,409.0
84,93,Levante,10,4,0,0,0,1,191.0
85,94,Villarreal,4,3,6,1,0,1,342.0
421,94,Real Madrid,6,2,2,0,0,1,374.0
86,95,Sevilla,5,2,2,0,0,0,233.0
422,95,Celta Vigo,14,5,5,0,0,0,581.0
87,96,Atlético Madrid,5,1,4,0,0,0,208.0
423,96,Barcelona,16,4,3,0,0,1,516.0
88,97,Eibar,20,8,2,0,0,1,529.0
424,97,Getafe,10,5,3,0,1,2,231.0
89,98,Cádiz,20,10,1,0,0,4,761.0
425,98,Real Sociedad,10,5,0,0,0,0,256.0
426,99,Valladolid,5,2,4,0,0,1,217.0
90,99,Granada,11,3,2,0,0,1,240.0
427,100,Valencia,9,2,3,0,0,1,218.0
91,100,Alavés,17,7,5,1,0,3,534.0
428,101,Betis,9,1,3,0,1,1,313.0
92,101,Athletic Club,7,3,5,0,1,1,401.0
93,103,Valladolid,10,0,2,0,0,0,406.0
429,103,Levante,6,4,1,0,0,2,384.0
430,104,Cádiz,9,0,7,2,0,0,178.0
94,104,Elche,12,8,2,0,0,3,501.0
95,105,Valencia,12,2,1,0,0,0,590.0
431,105,Atlético Madrid,10,2,3,0,0,0,313.0
96,106,Huesca,14,4,4,0,0,2,473.0
432,106,Sevilla,13,3,2,0,0,0,397.0
97,107,Real Madrid,7,3,0,0,0,2,116.0
